# jubarte convert baseline (398 set), jubarte 0.9.0, 2026-09-05
# mean Jaccard 53.10, median 43.50, n=398
# ratchet: row drop >1.0 or mean drop >0.2 is a regression (planning/plan.md)
stem	jaccard	ssim	text_boundary
source_randomized__file_145	10.9699	40.7945	100.0000
source_randomized__file_146	8.2713	26.9824	48.6486
source_randomized__file_147	77.8701	93.6408	100.0000
source_randomized__file_148	86.5018	99.5085	100.0000
source_randomized__file_149	96.2937	99.1404	100.0000
source_randomized__file_15	13.6861	67.7794	100.0000
source_randomized__file_150	97.2514	99.1238	100.0000
source_randomized__file_151	97.1711	99.2957	100.0000
source_randomized__file_152	98.5387	99.6701	100.0000
source_randomized__file_153	79.0774	96.8561	100.0000
source_randomized__file_154	98.3476	99.6851	100.0000
source_randomized__file_155	96.6784	99.3032	100.0000
source_randomized__file_156	96.2620	99.1082	100.0000
source_randomized__file_157	96.7366	98.6381	100.0000
source_randomized__file_158	99.0190	99.7633	100.0000
source_randomized__file_159	14.8072	30.8210	100.0000
source_randomized__file_16	29.7820	62.5546	58.3090
source_randomized__file_160	74.4647	93.7073	100.0000
source_randomized__file_161	96.4487	99.0513	100.0000
source_randomized__file_162	96.8081	99.1852	100.0000
source_randomized__file_163	7.2455	20.6721	100.0000
source_randomized__file_164	25.2925	42.2108	100.0000
source_randomized__file_165	17.8241	69.1127	100.0000
source_randomized__file_166	32.5802	73.9349	100.0000
source_randomized__file_167	98.2801	99.6223	100.0000
source_randomized__file_168	29.3343	85.7435	100.0000
source_randomized__file_169	77.3951	84.3736	100.0000
source_randomized__file_17	61.6337	74.1135	50.0000
source_randomized__file_170	12.1995	29.2413	22.3404
source_randomized__file_171	98.3362	99.6572	100.0000
source_randomized__file_172	62.6523	95.9907	100.0000
source_randomized__file_173	13.8942	68.0897	100.0000
source_randomized__file_174	51.3280	73.4992	100.0000
source_randomized__file_175	14.9101	39.5669	97.5309
source_randomized__file_176	11.1444	36.0233	65.7895
source_randomized__file_177	94.9364	98.5923	100.0000
source_randomized__file_178	26.8516	44.1281	100.0000
source_randomized__file_179	94.7031	98.5217	100.0000
source_randomized__file_18	20.1513	33.9994	100.0000
source_randomized__file_180	87.6362	94.5988	100.0000
source_randomized__file_181	95.2647	99.2182	100.0000
source_randomized__file_182	96.5227	99.0532	100.0000
source_randomized__file_183	95.4512	99.0301	100.0000
source_randomized__file_184	14.5666	36.4333	100.0000
source_randomized__file_185	41.0199	56.0971	44.4444
source_randomized__file_186	98.4266	99.6964	100.0000
source_randomized__file_187	18.1633	93.4941	100.0000
source_randomized__file_188	13.0696	35.2435	39.5062
source_randomized__file_189	69.0973	87.6091	100.0000
source_randomized__file_19	17.0287	51.1560	72.6415
source_randomized__file_190	23.8898	33.0666	100.0000
source_randomized__file_191	88.3341	95.5735	100.0000
source_randomized__file_192	100.0000	100.0000	100.0000
source_randomized__file_193	3.6709	17.4449	100.0000
source_randomized__file_194	33.2763	33.5906	0.0000
source_randomized__file_195	24.3335	71.2897	100.0000
source_randomized__file_196	41.0199	56.0971	44.4444
source_randomized__file_197	13.4780	20.5733	10.0000
source_randomized__file_198	18.5944	29.1984	100.0000
source_randomized__file_199	2.0055	28.6802	100.0000
source_randomized__file_2	4.0896	10.6493	70.9677
source_randomized__file_20	36.7325	45.7279	100.0000
source_randomized__file_21	95.9721	99.0594	100.0000
source_randomized__file_22	9.6311	31.0867	20.9956
source_randomized__file_23	22.9189	42.8237	100.0000
source_randomized__file_24	18.2874	93.4488	100.0000
source_randomized__file_25	95.0271	98.8194	100.0000
source_randomized__file_26	96.2505	98.7229	100.0000
source_randomized__file_27	28.8646	64.2566	34.6354
source_randomized__file_28	16.1617	27.0277	100.0000
source_randomized__file_29	3.8524	17.6454	100.0000
source_randomized__file_3	97.9031	99.5625	100.0000
source_randomized__file_30	4.9742	15.2845	100.0000
source_randomized__file_31	91.5434	96.9767	100.0000
source_randomized__file_32	78.8643	94.1705	100.0000
source_randomized__file_33	42.2660	84.2384	100.0000
source_randomized__file_34	62.4404	92.0694	97.0149
source_randomized__file_35	67.5190	87.6479	100.0000
source_randomized__file_36	18.7651	89.4346	100.0000
source_randomized__file_37	21.0587	93.1360	100.0000
source_randomized__file_38	96.2730	99.2046	100.0000
source_randomized__file_39	72.1879	82.5818	0.0000
source_randomized__file_4	3.8439	16.9720	100.0000
source_randomized__file_40	33.7524	73.2882	100.0000
source_randomized__file_41	4.1133	10.6880	70.9677
source_randomized__file_42	80.9823	93.3816	100.0000
source_randomized__file_43	72.1927	87.1995	100.0000
source_randomized__file_44	70.2553	80.1421	0.0000
source_randomized__file_45	98.0672	99.5510	100.0000
source_randomized__file_46	5.3140	21.2384	100.0000
source_randomized__file_47	1.5829	14.1560	0.0000
source_randomized__file_48	48.7934	38.7643	36.3636
source_randomized__file_49	74.8927	98.7062	100.0000
source_randomized__file_5	97.5027	99.4597	100.0000
source_randomized__file_50	17.4809	87.3744	100.0000
source_randomized__file_51	98.6255	99.6736	100.0000
source_randomized__file_52	22.9309	76.9424	100.0000
source_randomized__file_53	29.9781	63.1314	58.3090
source_randomized__file_54	86.1111	99.5438	100.0000
source_randomized__file_55	52.6989	99.9960	100.0000
source_randomized__file_56	46.5309	49.0495	100.0000
source_randomized__file_57	28.9565	97.4571	100.0000
source_randomized__file_58	18.8735	93.4194	100.0000
source_randomized__file_59	6.6962	19.9756	4.0000
source_randomized__file_6	29.9562	63.1192	58.3090
source_randomized__file_60	93.2030	97.5052	100.0000
source_randomized__file_61	16.6842	58.7636	100.0000
source_randomized__file_62	95.8842	98.4455	100.0000
source_randomized__file_63	34.3665	49.1975	50.0000
source_randomized__file_64	17.5191	54.4601	100.0000
source_randomized__file_65	15.9892	28.0718	100.0000
source_randomized__file_66	77.5659	93.2179	100.0000
source_randomized__file_67	77.9021	93.9251	100.0000
source_randomized__file_68	72.1361	92.5103	100.0000
source_randomized__file_69	12.8683	35.4495	39.5062
source_randomized__file_7	96.7403	99.2585	100.0000
source_randomized__file_70	8.4183	15.9726	0.0000
source_randomized__file_71	96.4286	97.6927	100.0000
source_randomized__file_72	98.9391	99.8380	100.0000
source_randomized__file_73	97.5182	99.4450	100.0000
source_randomized__file_74	29.9756	63.1245	58.3090
source_randomized__file_75	9.4256	29.0450	100.0000
source_randomized__file_76	18.3651	79.8770	100.0000
source_randomized__file_77	13.2139	39.6451	25.0000
source_randomized__file_78	12.8821	35.0637	39.5062
source_randomized__file_79	21.5454	93.1532	100.0000
source_randomized__file_8	28.8012	61.6289	70.0405
source_randomized__file_80	96.8198	99.2078	100.0000
source_randomized__file_81	14.4822	32.8366	100.0000
source_randomized__file_82	14.2943	32.2541	100.0000
source_randomized__file_83	26.8780	46.9317	66.6667
source_randomized__file_84	94.6357	98.5753	100.0000
source_randomized__file_85	97.7491	99.4890	100.0000
source_randomized__file_86	95.5494	98.7228	100.0000
source_randomized__file_87	19.1781	93.4725	100.0000
source_randomized__file_88	94.4482	97.9411	100.0000
source_randomized__file_89	40.9245	99.2629	100.0000
source_randomized__file_9	29.9960	63.0355	58.3090
source_randomized__file_90	18.1832	92.3853	100.0000
source_randomized__file_91	96.5679	99.2794	100.0000
source_randomized__file_92	15.9892	28.0714	100.0000
source_randomized__file_93	25.2528	74.0715	100.0000
source_randomized__file_94	14.7000	63.1430	100.0000
source_randomized__file_95	19.4012	31.1472	100.0000
source_randomized__file_96	16.5986	41.8680	100.0000
source_randomized__file_97	7.2980	24.2640	100.0000
source_randomized__file_98	18.7820	93.4282	100.0000
source_randomized__file_99	98.4482	99.5774	100.0000
